Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
ILST,INTL STAR INC,OTCID,0.000150,-0.250000,343800,Common Stock,USA,Delaware
NMGC,NEOMAGIC CORP,Pink Limited,0.011100,-0.207143,10000,Common Stock,USA,California
XCRT,XCELERATE INC,OTCID,0.015695,-0.000318,29071,Common Stock,USA,South Carolina
CTTH,CTT PHARMACEUTICAL HLDGS,OTCQB,0.090000,0.097561,36000,Common Stock,USA,Florida
CBRF,CYBERFUELS HOLDING CO,OTCID,0.490000,-0.032003,66815,Common Stock,USA,Florida
PSGR,PERSHING RESOURCES CO INC,Pink Limited,0.005000,-0.188312,2200,Common Stock,USA,Nevada
CAVR,CAVU RESOURCES INC,OTCID,0.000313,0.043333,1691666,Common Stock,USA,Oklahoma
RHCO,READEN HOLDING CORP,OTCID,0.019200,0.037838,15200,Common Stock,China,
SHCAY,SHARP CORP UNSP/ADR,Pink Limited,0.980000,0.031633,8484,ADRs,Japan,
CUBT,CURATIVE BIOTECHNOLOGY,OTCID,0.007350,0.013793,90000,Common Stock,USA,Florida
SLVYY,SOLVAY SA UNSP/ADR,Pink Limited,3.250000,0.009317,37839,ADRs,Belgium,
SPPJY,SAPPI LTD S/ADR,OTCQX,1.090000,-0.026786,37968,ADRs,South Africa,
WBRBY,WIENERBERGER BSTOFF S/ADR,Pink Limited,6.600000,0.016949,5372,ADRs,Austria,
NOUV,NOUVEAU LIFE PHARMS INC,Pink Limited,0.000001,-0.990000,130000,Common Stock,USA,California
KAOOY,KAO CORP UNSP/ADR,Pink Limited,8.580000,0.002512,37388,ADRs,Japan,
VIVHY,VIVENDI SE UNSP/ADR,Pink Limited,2.530000,0.004766,41792,ADRs,France,
VVVNF,VIVENDI SE,Pink Limited,2.565000,-0.017241,6603,Foreign Ordinary Shares,France,
LNVGF,LENOVO GROUP LTD ORD,Pink Limited,1.185000,0.004237,4120,Foreign Ordinary Shares,China,
NPNYY,NIPPON YUSEN KBSHKI S/ADR,Pink Limited,6.760000,-0.001477,43208,ADRs,Japan,
NYMXF,NYMOX PHARM CORP,OTCQB,0.050300,0.105495,34735,Common Stock,Canada,Quebec
EEGI,ELINE ENTMT GROUP INC,OTCID,0.000200,0.000000,615901,Common Stock,Hong Kong,
ACCR,ACCESS-POWER & CO INC,OTCID,0.002100,0.000000,4000,Common Stock,USA,Florida
TRSI,TROPHY RESOURCES INC,Pink Limited,0.000155,0.550000,4049324,Common Stock,USA,Arizona
ICTY,EYECITY.COM INC,OTCID,0.000300,0.000000,146899,Common Stock,USA,Florida
MVCO,METAVESCO INC.,OTCID,0.001000,0.111111,5111046,Common Stock,USA,Georgia
LVGI,LIMITLESS VENTURE GRP INC,Pink Limited,0.000400,0.000000,3500,Common Stock,USA,Oklahoma
ZTSTF,ZTEST ELECTRONICS INC,OTCID,0.230000,0.045455,20685,Other Security Type,Canada,Ontario
DIIBF,DOREL INDUS INC B,Pink Limited,1.298500,-0.008779,1487,Foreign Ordinary Shares,Canada,Quebec
BWMG,BROWNIE'S MARINE GRP INC,OTCID,0.005000,-0.285714,35000,Common Stock,USA,Florida
OWUV,ONE WORLD UNIVERSE INC,OTCID,0.003320,-0.077778,6950,Common Stock,USA,California
SITS,SOUTHERN ITS INTAL INC,OTCID,0.032400,-0.187970,40000,Common Stock,USA,Iowa
ELTP,ELITE PHARMS INC,OTCQB,0.403710,-0.003185,415016,Common Stock,USA,New Jersey
RDGL,VIVOS INC,OTCQB,0.084587,-0.037691,302201,Common Stock,USA,Washington
NXGB,NXGEN BRANDS INC,OTCID,0.000600,0.200000,27364573,Common Stock,USA,Colorado
NWTT,NW TECH CAPITAL INC,Pink Limited,0.000001,0.000000,285049,Common Stock,USA,California
CYIO,CYIOS CORP,OTCID,0.001200,-0.200000,31311888,Common Stock,USA,Florida
FRMO,FRMO CORP,Pink Limited,7.900000,0.047676,6397,Common Stock,USA,New York
AGYP,ALLIED ENERGY CORP,OTCID,0.000100,0.000000,8702800,Common Stock,USA,Texas
FYNN,FYNTECHNICAL INNOVATIONS,OTCID,0.000100,0.000000,14900000,Common Stock,USA,Florida
AWSL,ATLANTIC POWER & INFRASTR,Pink Limited,0.008900,0.034884,471270,Common Stock,USA,Florida
HPNN,HOP-ON INC,OTCID,0.000485,-0.118182,973185,Common Stock,USA,California
ATDS,DATA443 RISK MTIGTING INC,OTCID,0.000200,0.000000,2400000,Common Stock,USA,North Carolina
MLMC,MIKE LINDELL MEDIA CORP,OTCID,1.350000,0.310680,2942,Common Stock,USA,Minnesota
QSEP,QS ENERGY INC,OTCID,0.086800,-0.035556,170087,Common Stock,USA,Texas
KIQSF,KELSO TECHS INC,Pink Limited,0.115100,-0.012017,39705,Foreign Ordinary Shares,Canada,British Columbia
TGLO,THEGLOBE.COM INC,Pink Limited,0.250000,0.082251,22837,Common Stock,USA,Texas
TCEFF,TERRA CLEAN ENERGY CORP,OTCQB,0.123830,0.179333,32000,Foreign Ordinary Shares,Canada,British Columbia
KAYS,KAYA HOLDINGS INC,OTCQB,0.035040,0.049102,300,Common Stock,USA,Florida
SWRM,APPSWARM INC,OTCID,0.000145,-0.275000,3248601,Common Stock,USA,Oklahoma
NXGT,NEXTELIGENT HOLDINGS INC,OTCID,0.007000,0.000000,10000,Common Stock,USA,New York
BYSD,BAYSIDE CORP,OTCID,1.100000,0.029384,900,Common Stock,USA,Florida
LNTO,LELANTOS HOLDINGS INC,OTCID,0.005290,0.102083,2001,Common Stock,USA,Arizona
ERBB,AMERICAN GREEN INC,Pink Limited,0.000250,-0.166667,1164442,Common Stock,USA,Wyoming
VGLS,VG LIFE SCIENCES INC,OTCID,0.000100,0.000000,6900196,Common Stock,USA,New York
EVSV,ENVIRO-SERV INC,OTCID,0.000800,0.000000,100000,Common Stock,Canada,Ontario
ERAO,ENERGY RESOURCE ABUNDANCE,OTCID,0.009800,0.750000,4540,Common Stock,USA,Arizona
ECGS,ECO-GROWTH STRATEGIES INC,OTCID,0.086900,0.086250,64590,Common Stock,USA,Hawaii
HGTXU,HUGOTON ROYALTY TR UBI,OTCQB,0.240000,0.000000,5745,Units,USA,Texas
BIDCF,BLOCKCHAINK2 CORP,OTCQB,0.050400,0.253731,70600,Foreign Ordinary Shares,Canada,British Columbia
DSNY,DESTINY MEDIA TECHS INC,OTCQB,0.500000,-0.090909,7949,Foreign Ordinary Shares,Canada,British Columbia
MTLI,METALINE CONTACT MINES,Pink Limited,0.045000,0.122195,4968,Common Stock,USA,Wisconsin
ITMSF,INTERMAP TECHS CORP A,OTCQB,1.090000,-0.018018,50460,Foreign Ordinary Shares,USA,Colorado
UMAV,UAV CORP,OTCID,0.000300,1.000000,4253868,Common Stock,USA,Florida
SALM,SALEM MEDIA GROUP INC A,OTCQX,0.425000,0.008543,5622,Common Stock,USA,California
ICNM,ICON MEDIA HOLDINGS INC,OTCID,0.000200,0.000000,105224,Common Stock,Singapore,
AVVH,AVVAA WRLD H/C PRODS INC,OTCID,0.002900,-0.171429,1240786,Common Stock,USA,Texas
VPLM,VOIP PAL.COM INC,OTCID,0.009250,0.054131,209791,Common Stock,USA,Texas
BVCLF,BATM ADVANCED COMM,Pink Limited,0.001000,0.666667,330,Foreign Ordinary Shares,Israel,
ATGN,ALTIGEN COMMUNS INC,OTCQB,0.459900,0.010769,10000,Common Stock,USA,California
CIZN,CITZNS HOLDINGS CO MISS,OTCQX,9.600000,0.015873,1910,Common Stock,USA,Mississippi
LLESY,LENDLEASE CORP LTD S/ADR,Pink Limited,3.200000,0.052632,193,ADRs,Australia,New South Wales
QTRHF,QUARTERHILL INC,OTCQX,0.700000,0.000000,25594,Foreign Ordinary Shares,Canada,Ontario
CPMD,CANNAPHARMARX INC,Pink Limited,0.004800,0.371429,4159724,Common Stock,Canada,Alberta
SFBQF,SOFTBANK CORP,Pink Limited,1.326000,0.012214,13283,Foreign Ordinary Shares,Japan,
IDTA,IDENTA CORP,OTCQB,0.272000,-0.003955,43900,Common Stock,USA,Florida
AABB,ASIA BROADBAND INC,OTCID,0.015500,-0.049080,12257032,Common Stock,USA,Nevada
MMTOF,MITSUBISHI MOTORS NEW,Pink Limited,2.760000,0.000000,1000,Foreign Ordinary Shares,Japan,
DMIFF,DIAMCOR MINING INC ORD,Pink Limited,0.013600,3.121212,100,Foreign Ordinary Shares,Canada,British Columbia
CSPUF,CANADIAN SPIRIT RES INC,Pink Limited,0.001500,0.000000,20000,Foreign Ordinary Shares,Canada,Alberta
RJKAF,RJK EXPLOR A VTG ORD,Pink Limited,0.006100,-0.734783,100,Foreign Ordinary Shares,Canada,Ontario
NDEV,NOVUS ACQSTN  DEV  CORP,OTCID,0.015880,0.051656,2060,Common Stock,USA,Florida
DMAN,DEMAND BRANDS INC,OTCID,0.000500,0.000000,37360,Common Stock,USA,New Mexico
HMRFF,HOMERUN RES INC,OTCQB,0.657600,0.010138,12110,Foreign Ordinary Shares,Canada,British Columbia
BBTT,BTAB ECOMMERCE GROUP INC,OTCID,0.080887,0.093068,3500,Common Stock,Australia,New South Wales
