Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason
AAPL,2024-03-21 09:55:00-04:00,174.47,2024-03-21 10:10:00-04:00,173.79,-8.3,Stop Loss
AAPL,2024-04-04 14:00:00-04:00,169.12,2024-04-04 14:10:00-04:00,168.63,-6.24,Stop Loss
AAPL,2024-05-23 09:45:00-04:00,188.02,2024-05-23 12:45:00-04:00,187.48,-6.17,Time Stop
AAPL,2024-07-18 09:45:00-04:00,226.21,2024-07-18 10:40:00-04:00,224.62,-14.41,Stop Loss
AAPL,2024-07-25 09:55:00-04:00,213.92,2024-07-25 10:45:00-04:00,215.88,17.92,Take Profit
AAPL,2024-08-19 09:50:00-04:00,222.72,2024-08-19 10:15:00-04:00,221.73,-9.29,Stop Loss
AAPL,2024-08-28 11:10:00-04:00,225.32,2024-08-28 14:10:00-04:00,224.74,-5.5,Time Stop
AAPL,2024-09-10 09:45:00-04:00,215.74,2024-09-10 10:05:00-04:00,217.25,13.62,Take Profit
AAPL,2024-10-04 09:55:00-04:00,223.73,2024-10-04 12:55:00-04:00,223.68,-0.8,Time Stop
AAPL,2024-12-18 14:15:00-05:00,251.17,2024-12-18 14:20:00-05:00,250.4,-6.44,Stop Loss
AAPL,2025-01-14 15:00:00-05:00,231.38,2025-01-14 16:00:00-05:00,232.71,11.16,Take Profit
AAPL,2025-01-24 10:00:00-05:00,222.49,2025-01-24 10:25:00-05:00,221.4,-10.12,Stop Loss
AAPL,2025-01-31 09:45:00-05:00,241.86,2025-01-31 10:25:00-05:00,239.49,-19.97,Stop Loss
AAPL,2025-02-21 14:35:00-05:00,244.95,2025-02-21 16:00:00-05:00,244.53,-3.76,EOD Close
AAPL,2025-04-02 14:15:00-04:00,222.2,2025-04-02 15:40:00-04:00,223.27,9.23,Take Profit
AAPL,2025-06-13 09:45:00-04:00,196.78,2025-06-13 10:10:00-04:00,195.44,-13.98,Stop Loss
AAPL,2025-07-23 09:45:00-04:00,212.0,2025-07-23 12:45:00-04:00,212.84,7.55,Time Stop
AAPL,2025-07-29 09:45:00-04:00,212.25,2025-07-29 09:50:00-04:00,211.52,-7.27,Stop Loss
AAPL,2025-09-09 14:10:00-04:00,234.61,2025-09-09 14:15:00-04:00,233.49,-9.92,Stop Loss
AAPL,2025-09-24 09:45:00-04:00,252.0,2025-09-24 12:45:00-04:00,251.12,-7.3,Time Stop
