Ticker,Type,Entry_Time,PnL,Reason
AVGO,LONG,2022-08-11 11:15:00-04:00,-9.883514010061498,Stop Loss
AVGO,LONG,2022-09-26 10:05:00-04:00,-9.821918268208298,Stop Loss
AVGO,LONG,2022-10-03 10:30:00-04:00,28.11517284109425,Take Profit
AVGO,LONG,2022-10-04 15:45:00-04:00,11.649114222484094,End of Day Exit
AVGO,LONG,2022-11-04 10:10:00-04:00,27.726219434869826,Take Profit
AVGO,LONG,2022-12-08 10:25:00-05:00,21.692956583888403,Take Profit
AVGO,LONG,2022-12-27 11:30:00-05:00,18.54821111754183,Take Profit
AVGO,LONG,2023-01-06 10:50:00-05:00,38.59178972292811,Take Profit
AVGO,LONG,2023-01-25 10:10:00-05:00,-5.899584994710619,Stop Loss
AVGO,LONG,2023-01-31 11:45:00-05:00,-13.633402058175225,Stop Loss
AVGO,LONG,2023-02-14 10:40:00-05:00,-15.50492406730573,Stop Loss
AVGO,LONG,2023-02-27 11:20:00-05:00,-7.599326089088351,Stop Loss
AVGO,LONG,2023-03-22 12:20:00-04:00,-8.13843043975959,Stop Loss
AVGO,LONG,2023-03-23 14:25:00-04:00,-10.736729725576586,Stop Loss
AVGO,LONG,2023-06-28 10:55:00-04:00,29.053959098380854,Take Profit
AVGO,LONG,2023-07-14 10:45:00-04:00,-17.14744789537037,Stop Loss
AVGO,LONG,2023-07-17 11:25:00-04:00,23.646177153357353,Take Profit
AVGO,LONG,2023-08-23 15:45:00-04:00,34.96869412334573,End of Day Exit
AVGO,LONG,2023-09-13 11:00:00-04:00,18.282925998260765,Take Profit
AVGO,LONG,2023-09-28 11:30:00-04:00,26.28108574321436,Take Profit
AVGO,LONG,2023-10-10 10:30:00-04:00,16.459454776827005,Take Profit
AVGO,LONG,2023-10-23 15:45:00-04:00,22.456121427843723,End of Day Exit
AVGO,LONG,2023-10-24 15:15:00-04:00,27.450009140175244,Take Profit
AVGO,LONG,2023-11-01 11:20:00-04:00,-17.323470645751264,Stop Loss
AVGO,LONG,2023-11-03 10:15:00-04:00,-10.985892417247483,Stop Loss
AVGO,LONG,2023-11-07 14:00:00-05:00,32.77861825516976,Take Profit
AVGO,LONG,2023-12-04 10:30:00-05:00,-12.109264212745027,Stop Loss
AVGO,LONG,2024-01-05 12:20:00-05:00,-10.606377952372483,Stop Loss
AVGO,LONG,2024-02-07 10:30:00-05:00,22.162808696263937,Take Profit
AVGO,LONG,2024-03-26 10:10:00-04:00,-14.748907042023275,Stop Loss
AVGO,LONG,2024-04-11 12:50:00-04:00,44.87113977615492,Take Profit
AVGO,LONG,2024-04-25 15:45:00-04:00,-7.535176499629713,End of Day Exit
AVGO,LONG,2024-04-26 15:45:00-04:00,21.485841009894404,End of Day Exit
AVGO,LONG,2024-06-11 14:25:00-04:00,40.940189412593824,Take Profit
AVGO,LONG,2024-08-08 13:50:00-04:00,50.0,Take Profit
AVGO,LONG,2024-08-09 15:45:00-04:00,27.023121387283734,End of Day Exit
AVGO,LONG,2024-08-16 10:45:00-04:00,-15.595050327025028,Stop Loss
AVGO,LONG,2024-08-23 10:05:00-04:00,19.70156966604146,Take Profit
AVGO,LONG,2024-09-26 10:20:00-04:00,-10.921273881044637,Stop Loss
AVGO,LONG,2024-10-08 10:50:00-04:00,33.75161896266294,Take Profit
AVGO,LONG,2025-06-12 15:45:00-04:00,6.832943209768974,End of Day Exit
AVGO,LONG,2025-06-18 11:45:00-04:00,-16.506767226165042,Stop Loss
AVGO,LONG,2025-08-22 10:15:00-04:00,39.226196694416004,Take Profit
AVGO,LONG,2025-10-16 11:25:00-04:00,-22.212816282471927,Stop Loss
TSLA,LONG,2021-03-15 15:45:00-04:00,21.257796257796382,End of Day Exit
TSLA,LONG,2021-04-12 15:45:00-04:00,18.84503228494083,End of Day Exit
TSLA,LONG,2021-05-26 10:40:00-04:00,27.353496838522048,Take Profit
TSLA,LONG,2021-07-29 11:00:00-04:00,50.0,Take Profit
TSLA,LONG,2021-08-24 10:40:00-04:00,-16.074104201921156,Stop Loss
TSLA,LONG,2021-08-25 10:45:00-04:00,-17.49471114556491,Stop Loss
TSLA,LONG,2021-08-27 15:45:00-04:00,12.482511784041632,End of Day Exit
TSLA,LONG,2021-08-31 15:20:00-04:00,-17.814944402718375,Stop Loss
TSLA,LONG,2022-03-30 14:25:00-04:00,-17.232767573601528,Stop Loss
TSLA,LONG,2022-08-12 11:15:00-04:00,37.48439229691762,Take Profit
TSLA,LONG,2022-08-26 10:10:00-04:00,25.685805142513257,Take Profit
TSLA,LONG,2023-08-29 10:10:00-04:00,47.85594476790922,Take Profit
TSLA,LONG,2024-06-25 11:50:00-04:00,37.078564716784015,Take Profit
TSLA,LONG,2024-07-08 11:00:00-04:00,50.0,Take Profit
TSLA,LONG,2024-07-09 12:15:00-04:00,50.0,Take Profit
TSLA,LONG,2024-11-22 10:40:00-05:00,44.14795116039718,Take Profit
TSLA,LONG,2025-04-25 10:15:00-04:00,49.99999999999999,Take Profit
TSLA,LONG,2025-08-22 10:05:00-04:00,50.0,Take Profit
TSLA,LONG,2025-09-11 10:20:00-04:00,32.79905627298795,Take Profit
TSLA,LONG,2025-10-17 15:45:00-04:00,19.90095725523687,End of Day Exit
TSLA,LONG,2025-12-02 10:25:00-05:00,-16.61186088597351,Stop Loss
NVDA,LONG,2021-01-29 10:20:00-05:00,34.64645304544254,Take Profit
NVDA,LONG,2021-02-10 10:20:00-05:00,-25.0,Stop Loss
NVDA,LONG,2023-01-27 13:50:00-05:00,50.0,Take Profit
NVDA,LONG,2023-03-07 10:50:00-05:00,-17.36220389836533,Stop Loss
