Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason,Return_Pct,Compounded_Balance
AAPL,2022-08-16 14:45:00-04:00,169.12,2022-08-16 19:35:00+00:00,169.92,9.04,Take Profit,0.00226,4542.326264166011
AON,2022-08-16 14:45:00-04:00,293.71,2022-08-16 20:00:00+00:00,294.41,4.49,EOD Close,0.0011225,4547.425025397537
SYK,2022-08-16 14:45:00-04:00,215.5,2022-08-16 20:00:00+00:00,215.82,2.6,EOD Close,0.00065,4550.380851664046
SYK,2022-08-18 09:45:00-04:00,211.63,2022-08-18 16:45:00+00:00,211.76,0.85,Time Stop,0.0002125,4551.347807595023
SYK,2022-08-19 09:45:00-04:00,210.88,2022-08-19 15:05:00+00:00,209.82,-10.44,Stop Loss,-0.00261,4539.468789817201
AON,2022-08-19 09:45:00-04:00,293.04,2022-08-19 16:45:00+00:00,293.11,0.2,Time Stop,5e-05,4539.695763256692
V,2022-08-19 15:00:00-04:00,206.85,2022-08-19 19:10:00+00:00,207.49,5.83,Take Profit,0.0014575,4546.312369831638
MRK,2022-08-19 14:45:00-04:00,82.27,2022-08-19 20:00:00+00:00,82.24,-1.7,EOD Close,-0.000425,4544.380187074459
AAPL,2022-08-24 09:50:00-04:00,163.62,2022-08-24 15:45:00+00:00,164.59,11.4,Take Profit,0.00285,4557.331670607621
UNP,2022-08-26 10:00:00-04:00,216.98,2022-08-26 14:10:00+00:00,218.39,12.63,Take Profit,0.0031575,4571.721445357564
NSC,2022-08-26 10:35:00-04:00,239.2,2022-08-26 16:15:00+00:00,237.1,-17.91,Stop Loss,-0.0044775,4551.251562585976
AAPL,2022-08-26 10:35:00-04:00,164.67,2022-08-26 16:35:00+00:00,163.11,-19.47,Stop Loss,-0.004867499999999999,4529.098345605088
UNP,2022-08-26 10:30:00-04:00,215.75,2022-08-26 17:30:00+00:00,214.72,-9.92,Time Stop,-0.00248,4517.866181707987
JPM,2022-09-06 09:45:00-04:00,102.96,2022-09-06 16:45:00+00:00,103.13,2.53,Time Stop,0.0006324999999999999,4520.723732067918
JPM,2022-09-13 14:45:00-04:00,106.61,2022-09-13 19:10:00+00:00,106.21,-8.18,Stop Loss,-0.002045,4511.478852035839
V,2022-09-13 15:00:00-04:00,195.85,2022-09-13 19:10:00+00:00,195.22,-6.88,Stop Loss,-0.00172,4503.719108410337
ECL,2022-09-13 14:50:00-04:00,161.18,2022-09-13 19:15:00+00:00,160.61,-7.58,Stop Loss,-0.001895,4495.184560699899
JPM,2022-09-14 10:25:00-04:00,105.07,2022-09-14 14:50:00+00:00,106.22,21.22,Take Profit,0.005305,4519.031514794411
TXN,2022-09-14 14:00:00-04:00,147.92,2022-09-14 19:15:00+00:00,147.22,-10.06,Stop Loss,-0.0025150000000000003,4507.666150534704
ADI,2022-09-14 14:00:00-04:00,140.76,2022-09-14 19:15:00+00:00,140.04,-10.74,Stop Loss,-0.002685,4495.5630669205175
AVGO,2022-09-15 10:50:00-04:00,47.11,2022-09-15 15:55:00+00:00,46.74,-17.28,Stop Loss,-0.00432,4476.142234471421
ADI,2022-09-15 11:05:00-04:00,139.28,2022-09-15 17:00:00+00:00,140.65,19.13,Take Profit,0.004782499999999999,4497.5493847077805
SYK,2022-09-19 09:45:00-04:00,209.7,2022-09-19 16:45:00+00:00,211.13,13.26,Time Stop,0.003315,4512.458760918086
AON,2022-09-19 14:20:00-04:00,269.73,2022-09-19 19:00:00+00:00,270.64,6.43,Take Profit,0.0016075,4519.712538376262
SYK,2022-09-20 09:45:00-04:00,208.24,2022-09-20 16:45:00+00:00,209.97,16.23,Time Stop,0.0040575,4538.051272000724
MCD,2022-09-20 10:20:00-04:00,234.9,2022-09-20 17:20:00+00:00,234.39,-4.68,Time Stop,-0.00117,4532.741752012483
AAPL,2022-09-21 14:00:00-04:00,152.02,2022-09-21 18:35:00+00:00,154.11,26.91,Take Profit,0.0067275,4563.235772149147
AXP,2022-09-21 14:00:00-04:00,144.47,2022-09-21 18:40:00+00:00,146.23,23.84,Take Profit,0.00596,4590.432657351155
UNP,2022-09-21 14:00:00-04:00,196.7,2022-09-21 18:40:00+00:00,199.21,25.08,Take Profit,0.0062699999999999995,4619.214670112747
NSC,2022-09-21 14:00:00-04:00,213.56,2022-09-21 18:45:00+00:00,215.92,21.75,Take Profit,0.0054375,4644.331649881485
JPM,2022-09-27 10:05:00-04:00,97.11,2022-09-27 15:50:00+00:00,96.39,-15.63,Stop Loss,-0.0039075,4626.183923959573
AAPL,2022-09-28 09:45:00-04:00,142.56,2022-09-28 14:20:00+00:00,144.31,24.06,Take Profit,0.0060149999999999995,4654.01042026219
