Ticker,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Shares,PnL
UBER,2024-05-16 14:40:00-04:00,2024-05-16 15:05:00-04:00,66.88,66.66,SL / Trail Exit,14.951,-3.36
UBER,2024-05-29 14:40:00-04:00,2024-05-29 14:45:00-04:00,65.09,64.86,SL / Trail Exit,15.3633,-3.5
UBER,2024-06-04 15:10:00-04:00,2024-06-04 15:45:00-04:00,64.42,64.21,EOD Cutoff,15.5231,-3.26
UBER,2024-06-05 13:35:00-04:00,2024-06-05 14:05:00-04:00,65.81,65.56,SL / Trail Exit,15.1953,-3.72
UBER,2024-06-05 14:35:00-04:00,2024-06-05 15:35:00-04:00,65.74,65.67,Time Stop (Stagnant),15.2114,-1.13
UBER,2024-06-06 14:30:00-04:00,2024-06-06 15:45:00-04:00,68.36,68.6,EOD Cutoff,14.6284,3.51
UBER,2024-06-17 13:50:00-04:00,2024-06-17 14:50:00-04:00,70.49,70.22,SL / Trail Exit,14.1864,-3.9
UBER,2024-06-17 15:10:00-04:00,2024-06-17 15:45:00-04:00,70.44,70.5,EOD Cutoff,14.1965,0.78
UBER,2024-06-24 14:45:00-04:00,2024-06-24 15:45:00-04:00,70.64,70.71,EOD Cutoff,14.1563,0.99
UBER,2024-07-09 13:00:00-04:00,2024-07-09 13:20:00-04:00,71.99,71.65,SL / Trail Exit,13.8899,-4.76
UBER,2024-07-09 15:05:00-04:00,2024-07-09 15:10:00-04:00,71.68,71.48,SL / Trail Exit,13.9509,-2.72
UBER,2024-07-22 13:20:00-04:00,2024-07-22 14:20:00-04:00,67.61,67.57,Time Stop (Stagnant),14.7907,-0.59
UBER,2024-07-25 13:35:00-04:00,2024-07-25 14:35:00-04:00,66.95,66.55,Time Stop (Stagnant),14.9365,-6.05
UBER,2024-07-25 15:10:00-04:00,2024-07-25 15:35:00-04:00,66.59,66.51,SL / Trail Exit,15.0173,-1.2
UBER,2024-07-31 13:10:00-04:00,2024-07-31 13:30:00-04:00,64.94,64.6,SL / Trail Exit,15.3976,-5.31
UBER,2024-07-31 13:40:00-04:00,2024-07-31 15:15:00-04:00,64.77,64.68,SL / Trail Exit,15.4404,-1.31
UBER,2024-08-07 13:00:00-04:00,2024-08-07 13:45:00-04:00,67.96,67.45,SL / Trail Exit,14.7145,-7.5
UBER,2024-08-12 13:05:00-04:00,2024-08-12 15:45:00-04:00,68.78,69.12,EOD Cutoff,14.5391,5.02
UBER,2024-08-13 13:05:00-04:00,2024-08-13 13:55:00-04:00,70.1,70.67,TP (3R Target),14.2653,8.13
UBER,2024-08-14 13:05:00-04:00,2024-08-14 14:00:00-04:00,71.74,71.44,SL / Trail Exit,13.9392,-4.25
UBER,2024-08-14 14:35:00-04:00,2024-08-14 15:45:00-04:00,71.59,71.77,EOD Cutoff,13.9684,2.44
UBER,2024-09-09 13:45:00-04:00,2024-09-09 13:50:00-04:00,70.8,70.56,SL / Trail Exit,14.1233,-3.39
UBER,2024-09-18 13:25:00-04:00,2024-09-18 14:10:00-04:00,73.65,73.66,SL / Trail Exit,13.5777,0.14
UBER,2024-09-18 15:05:00-04:00,2024-09-18 15:45:00-04:00,73.78,73.68,EOD Cutoff,13.5538,-1.36
UBER,2024-09-24 14:45:00-04:00,2024-09-24 15:10:00-04:00,77.15,76.95,SL / Trail Exit,12.9618,-2.53
UBER,2024-09-25 14:40:00-04:00,2024-09-25 15:30:00-04:00,77.7,77.42,SL / Trail Exit,12.87,-3.54
UBER,2024-10-08 15:10:00-04:00,2024-10-08 15:45:00-04:00,76.34,76.31,EOD Cutoff,13.0993,-0.39
UBER,2024-10-09 13:20:00-04:00,2024-10-09 14:35:00-04:00,77.66,77.59,Time Stop (Stagnant),12.8758,-0.97
UBER,2024-10-09 15:00:00-04:00,2024-10-09 15:35:00-04:00,77.57,77.52,SL / Trail Exit,12.8916,-0.64
UBER,2024-10-10 13:10:00-04:00,2024-10-10 13:50:00-04:00,77.86,77.79,SL / Trail Exit,12.8427,-0.96
UBER,2024-10-10 13:55:00-04:00,2024-10-10 14:20:00-04:00,78.0,77.78,SL / Trail Exit,12.8197,-2.88
UBER,2024-10-14 15:05:00-04:00,2024-10-14 15:20:00-04:00,85.11,84.89,SL / Trail Exit,11.7495,-2.58
UBER,2024-10-21 13:50:00-04:00,2024-10-21 14:15:00-04:00,80.44,80.28,SL / Trail Exit,12.4309,-2.11
UBER,2024-10-21 14:30:00-04:00,2024-10-21 14:40:00-04:00,80.22,80.06,SL / Trail Exit,12.4657,-1.99
UBER,2024-10-21 15:10:00-04:00,2024-10-21 15:45:00-04:00,80.28,80.44,EOD Cutoff,12.4564,1.99
UBER,2024-10-22 13:40:00-04:00,2024-10-22 14:05:00-04:00,80.72,80.46,SL / Trail Exit,12.3886,-3.24
UBER,2024-10-22 14:35:00-04:00,2024-10-22 15:00:00-04:00,80.59,80.36,SL / Trail Exit,12.4077,-2.87
UBER,2024-10-30 13:15:00-04:00,2024-10-30 13:25:00-04:00,79.72,79.54,SL / Trail Exit,12.5439,-2.26
UBER,2024-10-30 14:35:00-04:00,2024-10-30 15:40:00-04:00,79.72,79.54,SL / Trail Exit,12.5439,-2.32
UBER,2024-11-04 13:30:00-05:00,2024-11-04 14:25:00-05:00,73.59,73.32,SL / Trail Exit,13.5884,-3.7
UBER,2024-11-04 14:30:00-05:00,2024-11-04 15:10:00-05:00,73.52,73.31,SL / Trail Exit,13.6017,-2.86
UBER,2024-11-06 14:50:00-05:00,2024-11-06 15:45:00-05:00,73.89,74.54,EOD Cutoff,13.5327,8.73
UBER,2024-11-20 14:45:00-05:00,2024-11-20 15:00:00-05:00,69.42,69.24,SL / Trail Exit,14.4054,-2.57
UBER,2024-11-20 15:05:00-05:00,2024-11-20 15:45:00-05:00,69.36,69.42,EOD Cutoff,14.4178,0.88
UBER,2024-11-21 14:40:00-05:00,2024-11-21 15:40:00-05:00,69.96,69.92,Time Stop (Stagnant),14.2939,-0.5
UBER,2024-12-02 13:25:00-05:00,2024-12-02 14:05:00-05:00,73.19,72.92,SL / Trail Exit,13.6631,-3.65
UBER,2024-12-04 15:15:00-05:00,2024-12-04 15:45:00-05:00,72.15,72.19,EOD Cutoff,13.86,0.49
UBER,2024-12-17 15:05:00-05:00,2024-12-17 15:45:00-05:00,60.89,60.81,EOD Cutoff,16.4231,-1.31
UBER,2024-12-18 13:05:00-05:00,2024-12-18 14:05:00-05:00,63.09,62.7,SL / Trail Exit,15.8516,-6.1
UBER,2024-12-18 14:30:00-05:00,2024-12-18 14:50:00-05:00,63.08,62.61,SL / Trail Exit,15.8529,-7.39
UBER,2025-01-02 13:05:00-05:00,2025-01-02 13:20:00-05:00,62.69,62.31,SL / Trail Exit,15.9516,-6.06
UBER,2025-01-02 13:25:00-05:00,2025-01-02 15:45:00-05:00,62.48,63.06,EOD Cutoff,16.0051,9.28
UBER,2025-01-15 13:00:00-05:00,2025-01-15 15:45:00-05:00,66.83,67.07,EOD Cutoff,14.9633,3.59
UBER,2025-01-22 13:05:00-05:00,2025-01-22 13:15:00-05:00,68.41,68.23,SL / Trail Exit,14.6177,-2.63
UBER,2025-01-22 13:35:00-05:00,2025-01-22 14:05:00-05:00,68.28,68.05,SL / Trail Exit,14.6456,-3.37
UBER,2025-01-23 13:00:00-05:00,2025-01-23 15:00:00-05:00,67.97,68.24,TP (3R Target),14.7124,3.97
